ACCIDENTE TERRESTRE	CHOCO[ACCIDENTE TERRESTRE]	0
ANTROPICO	CHOCO[ANTROPICO]	50
ANTROPICO	NARINO[ANTROPICO]	500
ANTROPICO	VAUPES[ANTROPICO]	2053
AVALANCHA	ANTIOQUIA[AVALANCHA]	28871
AVALANCHA	BOLIVAR[AVALANCHA]	2240
AVALANCHA	BOYACA[AVALANCHA]	13560
AVALANCHA	CALDAS[AVALANCHA]	175
AVALANCHA	CAQUETA[AVALANCHA]	13640
AVALANCHA	CASANARE[AVALANCHA]	45
AVALANCHA	CAUCA[AVALANCHA]	8378
AVALANCHA	CESAR[AVALANCHA]	14444
AVALANCHA	CHOCO[AVALANCHA]	9035
AVALANCHA	CORDOBA[AVALANCHA]	9555
AVALANCHA	CUNDINAMARCA[AVALANCHA]	665
AVALANCHA	HUILA[AVALANCHA]	16816
AVALANCHA	LA GUAJIRA[AVALANCHA]	3971
AVALANCHA	META[AVALANCHA]	250
AVALANCHA	NARINO[AVALANCHA]	1249
AVALANCHA	NORTE DE SANTANDER[AVALANCHA]	11965
AVALANCHA	PUTUMAYO[AVALANCHA]	1185
AVALANCHA	QUINDIO[AVALANCHA]	935
AVALANCHA	RISARALDA[AVALANCHA]	8545
AVALANCHA	SANTANDER[AVALANCHA]	6603
AVALANCHA	TOLIMA[AVALANCHA]	6406
AVALANCHA	VALLE DEL CAUCA[AVALANCHA]	4198
COLAPSO	ANTIOQUIA[COLAPSO]	172
COLAPSO	ATLANTICO[COLAPSO]	31
COLAPSO	BOGOTA, D.C.[COLAPSO]	37
COLAPSO	BOLIVAR[COLAPSO]	4
COLAPSO	BOYACA[COLAPSO]	10
COLAPSO	CALDAS[COLAPSO]	11
COLAPSO	CASANARE[COLAPSO]	0
COLAPSO	CAUCA[COLAPSO]	0
COLAPSO	CESAR[COLAPSO]	5
COLAPSO	CHOCO[COLAPSO]	0
COLAPSO	CORDOBA[COLAPSO]	5
COLAPSO	CUNDINAMARCA[COLAPSO]	120
COLAPSO	HUILA[COLAPSO]	15
COLAPSO	LA GUAJIRA[COLAPSO]	0
COLAPSO	MAGDALENA[COLAPSO]	20
COLAPSO	META[COLAPSO]	4
COLAPSO	NARINO[COLAPSO]	5
COLAPSO	NORTE DE SANTANDER[COLAPSO]	27
COLAPSO	PUTUMAYO[COLAPSO]	0
COLAPSO	QUINDIO[COLAPSO]	47
COLAPSO	RISARALDA[COLAPSO]	306
COLAPSO	SANTANDER[COLAPSO]	25
COLAPSO	SUCRE[COLAPSO]	0
COLAPSO	TOLIMA[COLAPSO]	87
COLAPSO	VALLE DEL CAUCA[COLAPSO]	68
COLAPSO 	BOLIVAR[COLAPSO ]	0
COLAPSO 	TOLIMA[COLAPSO ]	5
COLAPSO ESTRUCTURAL	ANTIOQUIA[COLAPSO ESTRUCTURAL]	12
COLAPSO ESTRUCTURAL	ARAUCA[COLAPSO ESTRUCTURAL]	15
COLAPSO ESTRUCTURAL	ATLANTICO[COLAPSO ESTRUCTURAL]	0
COLAPSO ESTRUCTURAL	CAUCA[COLAPSO ESTRUCTURAL]	0
COLAPSO ESTRUCTURAL	CHOCO[COLAPSO ESTRUCTURAL]	0
COLAPSO ESTRUCTURAL	HUILA[COLAPSO ESTRUCTURAL]	0
COLAPSO ESTRUCTURAL	MAGDALENA[COLAPSO ESTRUCTURAL]	25
COLAPSO ESTRUCTURAL	RISARALDA[COLAPSO ESTRUCTURAL]	10
COLAPSO ESTRUCTURAL	TOLIMA[COLAPSO ESTRUCTURAL]	0
COLAPSO ESTRUCTURAL	VALLE DEL CAUCA[COLAPSO ESTRUCTURAL]	5970
